som_size,learning_rate,sigma,workload_pattern,avg_response_time,avg_utilization,load_variance,rejection_rate,load_balance_score,performance_score,execution_time,load_distribution
"(8, 8)",0.1,1.5,bursty,0.2655595875660439,0.6330964133880357,0.024324864694541277,0.8125,0.05086092903245939,0.4164268500557414,0.02178335189819336,"[76, 62, 25, 33, 41, 43, 41, 79]"
"(8, 8)",0.1,1.5,periodic,0.2480754780519217,0.5275884412633255,0.04184108695370986,0.7975,0.04986894719131948,0.4013484504026673,0.021632671356201172,"[55, 12, 64, 42, 53, 35, 79, 60]"
"(8, 8)",0.1,2.0,mixed,0.26023812566003696,0.5759641353570962,0.01721977537628218,0.8125,0.044899329758987035,0.404212875306466,0.021827220916748047,"[52, 35, 40, 41, 40, 29, 100, 63]"
"(8, 8)",0.1,2.0,bursty,0.24430857721293567,0.4962179286211921,0.06483929377435446,0.845,0.031210697548402607,0.3807045463776912,0.036798715591430664,"[86, 21, 36, 28, 25, 65, 29, 110]"
"(8, 8)",0.1,2.0,periodic,0.27629864739488114,0.5716658853893961,0.027566616556913878,0.7625,0.029517189301432586,0.405743037257947,0.022353649139404297,"[29, 51, 52, 62, 10, 14, 121, 61]"
"(8, 8)",0.1,2.5,mixed,0.2421713587156303,0.47452683049547073,0.07020642767955249,0.8425,0.028589452983150427,0.3764947742289936,0.019731760025024414,"[84, 48, 16, 27, 29, 17, 119, 60]"
"(8, 8)",0.1,2.5,bursty,0.24240085519664922,0.4835846574650038,0.06115804831126745,0.8075,0.021615489998792176,0.3831695384873339,0.022650957107543945,"[134, 31, 39, 12, 8, 8, 112, 56]"
"(8, 8)",0.1,2.5,periodic,0.2818415764646095,0.5850668455012692,0.023057619014093887,0.7975,0.027044798943668815,0.3996650905087895,0.025669574737548828,"[43, 110, 15, 85, 9, 24, 27, 87]"
"(8, 8)",0.3,1.0,mixed,0.2616178413787063,0.5450104024273474,0.039546737356329534,0.825,0.045054140310600434,0.3953082381620862,0.021221160888671875,"[63, 58, 51, 65, 29, 7, 48, 79]"
"(8, 8)",0.3,1.0,bursty,0.2814012514013874,0.6077646134843816,0.014576936879032474,0.8025,0.04437570063178396,0.4084843366662845,0.02646327018737793,"[96, 52, 44, 64, 43, 38, 16, 47]"
"(8, 8)",0.3,1.0,periodic,0.2981901182102541,0.6410614701753635,0.006589769656412881,0.745,0.07423924863003188,0.432575028100491,0.01763439178466797,"[58, 68, 53, 27, 61, 43, 52, 38]"
"(8, 8)",0.3,1.5,mixed,0.2652211868666906,0.6139597444734162,0.02103322806560799,0.8,0.10510060395752727,0.43143482082256,0.03353452682495117,"[52, 43, 41, 58, 45, 52, 42, 67]"
"(8, 8)",0.3,1.5,bursty,0.263554951195053,0.5942162694412253,0.03973385562459113,0.8025,0.03450933120188751,0.40612142182202937,0.025078773498535156,"[66, 46, 72, 42, 39, 26, 6, 103]"
"(8, 8)",0.3,1.5,periodic,0.2592252909813794,0.5344421686539274,0.0438768691408406,0.8025,0.026776942189979166,0.3926632370303137,0.03142428398132324,"[43, 91, 31, 17, 17, 117, 13, 71]"
"(8, 8)",0.3,2.0,mixed,0.27009559988822285,0.5932043957821652,0.023604223120079766,0.8075,0.04306542068653267,0.40626319752698437,0.022005558013916016,"[70, 38, 50, 50, 21, 34, 40, 97]"
"(8, 8)",0.3,2.0,bursty,0.26153981647301455,0.5787841658883444,0.021128635652653868,0.8125,0.029610381375906686,0.39994457022909324,0.0308682918548584,"[129, 16, 35, 64, 27, 35, 46, 48]"
"(8, 8)",0.3,2.0,periodic,0.26594522511594554,0.5248723008909401,0.031645213754280144,0.8375,0.0576188639166834,0.3917371970719573,0.022229671478271484,"[67, 39, 35, 55, 26, 48, 50, 80]"
"(8, 8)",0.3,2.5,mixed,0.2411573001589792,0.5027242282078135,0.08665439351094156,0.8375,0.021828955159350353,0.3813034266254502,0.022520780563354492,"[152, 25, 26, 20, 4, 31, 61, 81]"
